date,product_name,category,shelf_life_hours,day_of_week,weekend_flag,month,holiday_flag,promotion_flag,temperature_c,rainfall_mm,footfall,price,current_stock,produced_qty,qty_sold,waste_qty
2024-06-20,Pizza Slice,FastFood,24,3,0,6,0,0,20.3,5.0,342,5.0,55,121,106,15
2024-04-08,Pizza Slice,FastFood,24,0,0,4,0,0,25.3,1.6,294,5.0,34,107,92,15
2025-07-19,Burger,FastFood,24,5,1,7,1,0,22.4,0.0,471,6.0,115,143,143,0
2024-04-13,Chicken Roll,Snack,24,5,1,4,0,0,5.4,4.9,376,3.5,33,128,128,0
2025-05-20,Salad,Healthy,24,1,0,5,0,0,27.3,7.0,363,5.5,96,81,81,0
2024-04-01,Burger,FastFood,24,0,0,4,0,0,17.7,0.9,242,6.0,67,109,103,6
2024-10-31,Pizza Slice,FastFood,24,3,0,10,0,0,4.1,4.7,317,5.0,117,109,109,0
2024-04-12,Pizza Slice,FastFood,24,4,0,4,0,0,29.6,0.0,343,5.0,28,108,96,12
2024-02-27,Salad,Healthy,24,1,0,2,0,0,17.0,0.0,327,5.5,10,96,78,18
2024-04-05,Ice Cream,Dessert,72,4,0,4,0,0,19.3,5.3,478,4.0,78,141,135,6
2024-09-03,Sandwich,Bakery,48,1,0,9,0,0,16.3,10.5,348,4.5,48,106,86,20
2024-10-15,Ice Cream,Dessert,72,1,0,10,0,0,28.8,8.3,342,4.0,28,149,133,16
2024-11-20,Coffee,Beverage,12,2,0,11,0,0,16.6,3.2,388,3.0,33,139,139,0
2025-11-20,Sandwich,Bakery,48,3,0,11,0,0,22.8,3.3,376,4.5,83,111,98,13
2025-01-31,Pizza Slice,FastFood,24,4,0,1,0,0,20.0,0.5,337,5.0,35,96,96,0
2025-08-24,Ice Cream,Dessert,72,6,1,8,0,0,20.5,0.2,523,4.0,45,166,157,9
2024-10-03,Coffee,Beverage,12,3,0,10,0,0,23.2,5.4,348,3.0,91,153,130,23
2024-04-05,Bread,Bakery,48,4,0,4,0,0,23.4,0.0,298,2.5,39,134,133,1
2024-03-02,Pizza Slice,FastFood,24,5,1,3,0,0,16.3,6.4,453,5.0,87,133,118,15
2025-01-18,Pizza Slice,FastFood,24,5,1,1,0,0,5.5,1.2,542,5.0,109,126,119,7
2024-05-23,Chicken Roll,Snack,24,3,0,5,0,1,30.7,4.6,355,3.5,111,137,137,0
2024-06-22,Coffee,Beverage,12,5,1,6,0,0,6.9,3.3,533,3.0,95,175,174,1
2025-05-25,Salad,Healthy,24,6,1,5,1,0,13.0,2.1,568,5.5,100,148,148,0
2025-06-14,Salad,Healthy,24,5,1,6,0,0,28.1,0.0,521,5.5,114,138,115,23
2024-01-01,Sandwich,Bakery,48,0,0,1,0,1,7.9,0.0,329,4.5,15,135,119,16
2024-06-21,Coffee,Beverage,12,4,0,6,0,0,23.9,0.0,307,3.0,10,113,113,0
2025-10-17,Salad,Healthy,24,4,0,10,0,0,33.3,0.0,299,5.5,99,66,66,0
2025-11-28,Pizza Slice,FastFood,24,4,0,11,0,0,20.4,10.5,407,5.0,101,113,100,13
2025-07-11,Sandwich,Bakery,48,4,0,7,0,1,23.2,8.9,392,4.5,118,117,117,0
2024-04-28,Bread,Bakery,48,6,1,4,0,1,6.0,8.4,463,2.5,108,184,184,0
2025-02-08,Bread,Bakery,48,5,1,2,0,0,29.5,3.9,479,2.5,62,184,163,21
2025-12-14,Burger,FastFood,24,6,1,12,0,0,13.4,0.0,417,6.0,74,144,120,24
2024-02-03,Pizza Slice,FastFood,24,5,1,2,0,0,-6.3,1.9,438,5.0,74,135,135,0
2025-02-04,Bread,Bakery,48,1,0,2,0,0,22.2,7.9,362,2.5,59,147,129,18
2024-11-30,Sandwich,Bakery,48,5,1,11,0,0,3.8,10.8,454,4.5,115,128,127,1
2024-05-12,Coffee,Beverage,12,6,1,5,0,1,6.1,2.8,493,3.0,62,187,187,0
2024-07-23,Ice Cream,Dessert,72,1,0,7,0,0,20.6,0.0,319,4.0,76,125,109,16
2024-07-13,Sandwich,Bakery,48,5,1,7,0,0,14.3,0.0,463,4.5,99,127,109,18
2024-03-18,Burger,FastFood,24,0,0,3,0,0,21.6,7.8,401,6.0,108,104,104,0
2024-10-29,Salad,Healthy,24,1,0,10,1,0,19.3,9.4,414,5.5,68,104,104,0
2024-01-03,Salad,Healthy,24,2,0,1,0,0,9.8,0.0,367,5.5,37,73,73,0
2024-02-08,Chicken Roll,Snack,24,3,0,2,0,0,7.1,3.8,329,3.5,19,90,90,0
2024-08-20,Coffee,Beverage,12,1,0,8,0,0,20.8,9.6,438,3.0,51,183,162,21
2025-06-01,Pizza Slice,FastFood,24,6,1,6,0,0,8.2,5.3,430,5.0,84,132,118,14
2025-08-29,Bread,Bakery,48,4,0,8,0,0,0.5,5.7,373,2.5,13,128,128,0
2025-10-07,Ice Cream,Dessert,72,1,0,10,0,0,21.7,3.8,472,4.0,60,156,156,0
2024-11-21,Burger,FastFood,24,3,0,11,0,0,6.6,3.2,365,6.0,73,120,98,22
2024-05-18,Salad,Healthy,24,5,1,5,0,0,17.0,1.4,433,5.5,110,108,108,0
2025-07-03,Salad,Healthy,24,3,0,7,0,0,21.2,5.6,391,5.5,84,79,79,0
2025-08-10,Sandwich,Bakery,48,6,1,8,0,0,26.2,4.0,490,4.5,23,133,119,14
2024-10-17,Coffee,Beverage,12,3,0,10,0,0,23.2,4.0,399,3.0,27,136,112,24
2024-10-21,Bread,Bakery,48,0,0,10,0,0,25.4,0.0,255,2.5,106,120,120,0
2025-09-07,Bread,Bakery,48,6,1,9,0,0,19.2,5.3,417,2.5,24,156,143,13
2024-10-15,Pizza Slice,FastFood,24,1,0,10,0,0,24.8,5.9,328,5.0,75,96,96,0
2025-05-31,Sandwich,Bakery,48,5,1,5,0,0,2.3,5.7,605,4.5,24,135,122,13
2025-10-09,Coffee,Beverage,12,3,0,10,0,0,27.3,11.0,393,3.0,29,148,148,0
2024-09-10,Burger,FastFood,24,1,0,9,0,0,6.2,0.6,395,6.0,113,116,114,2
2025-09-14,Bread,Bakery,48,6,1,9,0,1,30.5,5.4,483,2.5,115,188,176,12
2025-01-12,Chicken Roll,Snack,24,6,1,1,0,0,11.1,2.5,473,3.5,49,155,155,0
2025-10-22,Salad,Healthy,24,2,0,10,0,0,10.9,0.0,399,5.5,11,82,82,0
2024-07-28,Sandwich,Bakery,48,6,1,7,0,0,16.2,0.0,455,4.5,80,118,118,0
2025-05-15,Bread,Bakery,48,3,0,5,0,0,11.7,0.1,354,2.5,90,114,110,4
2024-12-26,Chicken Roll,Snack,24,3,0,12,0,1,8.6,3.6,286,3.5,103,124,117,7
2025-03-10,Sandwich,Bakery,48,0,0,3,0,0,33.8,0.7,415,4.5,28,100,98,2
2025-08-12,Sandwich,Bakery,48,1,0,8,0,0,3.5,0.0,279,4.5,10,94,94,0
2024-02-24,Salad,Healthy,24,5,1,2,0,0,18.4,6.8,543,5.5,76,90,82,8
2025-03-18,Salad,Healthy,24,1,0,3,0,0,14.3,5.0,276,5.5,43,99,80,19
2024-04-05,Bread,Bakery,48,4,0,4,0,1,15.5,7.6,285,2.5,104,150,148,2
2024-01-07,Burger,FastFood,24,6,1,1,0,0,6.3,10.1,395,6.0,11,116,116,0
2025-04-15,Salad,Healthy,24,1,0,4,0,0,26.7,0.0,244,5.5,95,70,62,8
2025-08-15,Burger,FastFood,24,4,0,8,0,1,8.7,2.5,486,6.0,18,127,103,24
2024-08-24,Chicken Roll,Snack,24,5,1,8,0,0,9.0,3.4,372,3.5,26,162,141,21
2024-06-01,Ice Cream,Dessert,72,5,1,6,0,0,29.3,9.3,409,4.0,54,167,166,1
2025-04-20,Ice Cream,Dessert,72,6,1,4,0,0,21.6,0.1,481,4.0,35,156,143,13
2024-05-28,Sandwich,Bakery,48,1,0,5,0,0,11.2,7.2,293,4.5,33,131,125,6
2024-03-09,Bread,Bakery,48,5,1,3,0,0,22.3,0.0,469,2.5,118,162,144,18
2024-07-19,Burger,FastFood,24,4,0,7,0,0,10.7,0.0,396,6.0,34,153,130,23
2024-05-10,Burger,FastFood,24,4,0,5,0,0,22.4,0.0,306,6.0,58,102,101,1
2024-11-25,Chicken Roll,Snack,24,0,0,11,0,0,25.5,3.5,399,3.5,96,150,129,21
2025-01-08,Bread,Bakery,48,2,0,1,0,0,7.3,2.8,399,2.5,23,133,133,0
2025-09-20,Salad,Healthy,24,5,1,9,0,1,25.9,2.7,442,5.5,115,151,128,23
2024-09-29,Ice Cream,Dessert,72,6,1,9,0,0,10.7,8.1,454,4.0,24,132,132,0
2024-12-14,Ice Cream,Dessert,72,5,1,12,0,0,19.9,6.6,474,4.0,41,177,161,16
2024-02-08,Ice Cream,Dessert,72,3,0,2,0,0,14.4,0.0,405,4.0,19,136,122,14
2024-12-24,Pizza Slice,FastFood,24,1,0,12,0,0,15.9,0.0,289,5.0,71,106,85,21
2025-10-26,Bread,Bakery,48,6,1,10,0,1,4.5,0.0,405,2.5,46,194,173,21
2025-01-14,Ice Cream,Dessert,72,1,0,1,1,1,23.8,3.8,421,4.0,102,166,166,0
2024-04-16,Burger,FastFood,24,1,0,4,0,0,21.6,7.8,355,6.0,29,109,90,19
2025-11-20,Burger,FastFood,24,3,0,11,0,0,14.1,5.5,362,6.0,82,90,90,0
2024-12-22,Burger,FastFood,24,6,1,12,0,0,16.7,0.0,465,6.0,34,129,129,0
2025-01-29,Sandwich,Bakery,48,2,0,1,0,0,18.3,0.5,404,4.5,76,126,102,24
2024-02-09,Sandwich,Bakery,48,4,0,2,0,0,25.7,3.3,311,4.5,57,89,89,0
2024-12-28,Coffee,Beverage,12,5,1,12,0,0,27.7,5.6,459,3.0,116,165,151,14
2025-07-04,Salad,Healthy,24,4,0,7,0,0,12.3,6.4,389,5.5,113,73,58,15
2025-11-30,Bread,Bakery,48,6,1,11,0,0,19.9,1.4,502,2.5,72,167,155,12
2025-07-25,Salad,Healthy,24,4,0,7,1,0,19.2,4.6,418,5.5,26,98,98,0
2025-02-04,Burger,FastFood,24,1,0,2,0,0,32.1,0.0,247,6.0,38,116,116,0
2024-02-02,Ice Cream,Dessert,72,4,0,2,0,1,17.2,0.0,355,4.0,38,164,151,13
2024-03-15,Pizza Slice,FastFood,24,4,0,3,0,0,14.6,1.6,239,5.0,67,109,87,22
2025-06-10,Burger,FastFood,24,1,0,6,0,0,9.2,8.8,345,6.0,81,130,121,9
2025-10-18,Coffee,Beverage,12,5,1,10,0,0,21.2,5.4,413,3.0,62,162,154,8
2025-01-12,Sandwich,Bakery,48,6,1,1,0,0,8.0,5.4,380,4.5,69,125,119,6
2025-05-15,Coffee,Beverage,12,3,0,5,0,0,31.7,1.5,369,3.0,47,139,123,16
2024-01-11,Coffee,Beverage,12,3,0,1,0,1,19.8,4.9,312,3.0,85,168,152,16
2025-04-07,Bread,Bakery,48,0,0,4,0,0,26.3,0.4,411,2.5,39,150,133,17
2025-08-11,Pizza Slice,FastFood,24,0,0,8,0,0,24.4,5.2,356,5.0,113,100,100,0
2024-11-12,Sandwich,Bakery,48,1,0,11,0,0,28.3,9.1,372,4.5,81,109,97,12
2024-11-13,Pizza Slice,FastFood,24,2,0,11,0,1,27.2,3.8,474,5.0,50,122,122,0
2024-01-12,Salad,Healthy,24,4,0,1,0,0,7.1,7.2,450,5.5,102,99,83,16
2024-11-02,Pizza Slice,FastFood,24,5,1,11,0,0,18.3,3.5,506,5.0,102,118,118,0
2024-12-18,Salad,Healthy,24,2,0,12,0,1,24.5,6.5,238,5.5,117,80,76,4
2024-05-31,Burger,FastFood,24,4,0,5,0,0,29.8,1.2,414,6.0,43,132,112,20
2024-10-21,Burger,FastFood,24,0,0,10,1,0,9.1,0.0,504,6.0,106,157,138,19
2025-06-03,Pizza Slice,FastFood,24,1,0,6,0,0,20.3,1.8,250,5.0,69,94,94,0
2025-05-18,Salad,Healthy,24,6,1,5,0,0,15.5,0.0,392,5.5,49,110,110,0
2025-11-06,Coffee,Beverage,12,3,0,11,0,0,16.9,7.0,314,3.0,85,122,108,14
2024-12-26,Chicken Roll,Snack,24,3,0,12,0,0,8.9,0.0,251,3.5,85,145,124,21
2024-10-31,Chicken Roll,Snack,24,3,0,10,0,0,19.2,7.4,319,3.5,87,116,116,0
2025-05-25,Coffee,Beverage,12,6,1,5,1,0,17.1,0.0,538,3.0,60,189,189,0
2024-01-12,Burger,FastFood,24,4,0,1,0,0,7.2,5.0,222,6.0,47,105,101,4
2024-05-30,Bread,Bakery,48,3,0,5,0,0,18.4,3.5,326,2.5,17,133,120,13
2024-12-17,Ice Cream,Dessert,72,1,0,12,0,0,24.1,5.0,359,4.0,91,137,136,1
2025-06-21,Bread,Bakery,48,5,1,6,0,0,19.4,2.0,480,2.5,40,162,162,0
2025-10-15,Coffee,Beverage,12,2,0,10,0,0,11.1,1.2,253,3.0,42,151,142,9
2025-11-18,Coffee,Beverage,12,1,0,11,0,0,22.0,4.4,248,3.0,111,114,111,3
2025-03-29,Burger,FastFood,24,5,1,3,0,0,27.0,2.0,477,6.0,98,125,120,5
2025-10-16,Chicken Roll,Snack,24,3,0,10,0,0,11.8,9.2,256,3.5,44,128,106,22
2024-09-23,Sandwich,Bakery,48,0,0,9,0,0,18.0,9.5,387,4.5,75,101,101,0
2025-09-20,Coffee,Beverage,12,5,1,9,0,0,28.1,0.0,609,3.0,57,176,169,7
2024-11-21,Ice Cream,Dessert,72,3,0,11,0,1,16.2,4.6,338,4.0,43,140,140,0
2025-01-07,Pizza Slice,FastFood,24,1,0,1,0,1,35.2,6.9,365,5.0,11,116,116,0
2025-10-05,Burger,FastFood,24,6,1,10,0,0,11.2,5.2,580,6.0,65,164,144,20
2024-03-24,Pizza Slice,FastFood,24,6,1,3,0,1,21.3,0.0,484,5.0,101,173,173,0
2024-01-26,Chicken Roll,Snack,24,4,0,1,0,0,23.2,2.0,369,3.5,100,158,137,21
2025-08-02,Burger,FastFood,24,5,1,8,0,1,25.2,5.3,435,6.0,64,152,152,0
2025-11-17,Chicken Roll,Snack,24,0,0,11,0,1,16.7,2.5,352,3.5,101,134,134,0
2024-06-08,Sandwich,Bakery,48,5,1,6,0,0,17.4,13.3,421,4.5,48,138,138,0
2024-10-06,Pizza Slice,FastFood,24,6,1,10,0,0,22.8,1.9,425,5.0,110,151,134,17
2025-11-06,Sandwich,Bakery,48,3,0,11,0,0,26.1,0.0,424,4.5,69,101,101,0
2025-03-03,Sandwich,Bakery,48,0,0,3,0,0,29.8,6.5,335,4.5,95,78,78,0
2024-05-09,Salad,Healthy,24,3,0,5,0,0,17.9,3.5,402,5.5,67,80,60,20
2025-03-28,Coffee,Beverage,12,4,0,3,0,0,15.7,0.0,424,3.0,21,138,137,1
2025-02-03,Pizza Slice,FastFood,24,0,0,2,1,0,11.6,1.9,481,5.0,74,156,142,14
2024-05-28,Pizza Slice,FastFood,24,1,0,5,0,0,14.3,4.4,380,5.0,107,112,112,0
2025-04-25,Salad,Healthy,24,4,0,4,0,0,5.1,5.0,283,5.5,77,48,46,2
2024-11-06,Ice Cream,Dessert,72,2,0,11,0,0,18.6,2.6,405,4.0,39,122,122,0
2024-05-13,Sandwich,Bakery,48,0,0,5,0,0,16.8,0.0,382,4.5,91,89,89,0
2024-09-22,Chicken Roll,Snack,24,6,1,9,0,0,24.4,0.0,439,3.5,108,151,151,0
2024-01-25,Coffee,Beverage,12,3,0,1,0,0,18.4,5.1,345,3.0,22,153,138,15
2025-06-15,Burger,FastFood,24,6,1,6,0,1,6.4,8.0,538,6.0,43,131,131,0
2024-12-10,Burger,FastFood,24,1,0,12,0,0,7.5,6.5,276,6.0,30,98,98,0
2024-06-04,Ice Cream,Dessert,72,1,0,6,0,0,24.6,9.1,273,4.0,110,156,133,23
2025-01-14,Pizza Slice,FastFood,24,1,0,1,0,0,21.3,5.9,324,5.0,108,116,116,0
2024-06-03,Pizza Slice,FastFood,24,0,0,6,0,0,20.9,2.6,315,5.0,30,117,95,22
2025-08-13,Coffee,Beverage,12,2,0,8,0,0,7.6,3.7,349,3.0,108,148,148,0
2025-12-03,Coffee,Beverage,12,2,0,12,0,0,9.6,2.8,420,3.0,113,154,135,19
2025-03-11,Coffee,Beverage,12,1,0,3,0,0,13.3,7.2,313,3.0,38,173,156,17
2024-01-10,Burger,FastFood,24,2,0,1,0,1,33.1,0.6,394,6.0,81,133,133,0
2024-06-21,Sandwich,Bakery,48,4,0,6,0,1,13.8,2.7,415,4.5,108,136,128,8
2024-01-17,Coffee,Beverage,12,2,0,1,0,0,19.7,2.9,313,3.0,67,143,143,0
2024-12-15,Ice Cream,Dessert,72,6,1,12,0,0,22.2,8.2,394,4.0,58,160,140,20
2025-01-16,Pizza Slice,FastFood,24,3,0,1,0,0,13.9,3.2,437,5.0,104,131,131,0
2024-10-14,Bread,Bakery,48,0,0,10,0,0,21.9,2.2,314,2.5,68,109,109,0
2024-05-03,Burger,FastFood,24,4,0,5,0,1,14.6,1.7,362,6.0,30,143,124,19
2024-05-01,Bread,Bakery,48,2,0,5,0,1,20.1,0.0,275,2.5,17,171,147,24
2024-08-25,Salad,Healthy,24,6,1,8,0,0,25.9,0.0,487,5.5,22,85,83,2
2025-06-24,Coffee,Beverage,12,1,0,6,0,1,18.2,0.0,379,3.0,52,183,162,21
2025-12-01,Chicken Roll,Snack,24,0,0,12,0,0,30.7,5.5,369,3.5,110,130,130,0
2024-12-27,Burger,FastFood,24,4,0,12,0,0,16.5,0.0,315,6.0,19,117,112,5
2024-10-28,Salad,Healthy,24,0,0,10,0,0,22.8,0.0,421,5.5,67,84,84,0
2024-07-27,Ice Cream,Dessert,72,5,1,7,0,1,7.9,0.0,442,4.0,65,135,132,3
2024-04-10,Burger,FastFood,24,2,0,4,0,0,22.1,4.4,248,6.0,94,141,117,24
2025-02-08,Burger,FastFood,24,5,1,2,0,0,14.1,13.2,436,6.0,89,132,132,0
2025-06-19,Burger,FastFood,24,3,0,6,0,0,11.1,4.5,414,6.0,67,145,123,22
2024-04-26,Salad,Healthy,24,4,0,4,0,0,11.7,1.8,297,5.5,72,95,83,12
2024-10-29,Sandwich,Bakery,48,1,0,10,0,0,21.2,0.0,270,4.5,24,91,91,0
2025-07-12,Ice Cream,Dessert,72,5,1,7,0,0,20.5,3.2,500,4.0,103,141,141,0
2025-07-16,Coffee,Beverage,12,2,0,7,0,1,13.9,0.0,265,3.0,30,114,114,0
2025-12-04,Coffee,Beverage,12,3,0,12,0,0,18.7,3.6,322,3.0,66,141,126,15
2025-08-18,Bread,Bakery,48,0,0,8,0,0,24.2,0.2,346,2.5,104,139,130,9
2024-07-23,Ice Cream,Dessert,72,1,0,7,0,0,1.0,6.5,394,4.0,91,105,89,16
2024-07-21,Pizza Slice,FastFood,24,6,1,7,0,1,26.1,1.5,502,5.0,46,168,163,5
2024-03-22,Coffee,Beverage,12,4,0,3,0,0,8.7,12.7,354,3.0,70,162,145,17
2024-06-26,Coffee,Beverage,12,2,0,6,0,0,19.4,7.6,289,3.0,107,140,128,12
2024-02-12,Chicken Roll,Snack,24,0,0,2,0,0,8.6,5.2,335,3.5,14,130,130,0
2024-01-22,Bread,Bakery,48,0,0,1,0,0,17.1,7.5,299,2.5,49,157,135,22
2025-07-24,Burger,FastFood,24,3,0,7,1,0,3.1,2.9,437,6.0,77,153,147,6
2025-10-16,Bread,Bakery,48,3,0,10,0,0,14.5,0.2,355,2.5,37,146,136,10
2025-03-22,Burger,FastFood,24,5,1,3,0,0,18.6,6.5,411,6.0,61,134,127,7
2025-08-23,Sandwich,Bakery,48,5,1,8,0,0,5.2,3.8,491,4.5,94,140,140,0
2025-07-20,Chicken Roll,Snack,24,6,1,7,0,1,9.5,3.5,528,3.5,16,173,173,0
2025-01-21,Coffee,Beverage,12,1,0,1,0,0,14.2,0.9,367,3.0,116,168,147,21
2024-09-16,Ice Cream,Dessert,72,0,0,9,0,0,19.3,4.0,381,4.0,72,130,125,5
2025-10-31,Coffee,Beverage,12,4,0,10,0,1,20.7,0.0,319,3.0,14,172,153,19
2025-12-01,Pizza Slice,FastFood,24,0,0,12,0,1,30.7,4.4,331,5.0,56,96,96,0
2025-12-25,Bread,Bakery,48,3,0,12,0,1,11.0,1.0,400,2.5,71,173,156,17
2025-11-05,Pizza Slice,FastFood,24,2,0,11,0,0,21.1,0.0,466,5.0,26,92,92,0
2025-09-11,Sandwich,Bakery,48,3,0,9,0,0,15.8,0.3,378,4.5,10,88,88,0
2025-10-01,Salad,Healthy,24,2,0,10,0,1,13.8,0.0,437,5.5,109,96,96,0
2025-02-04,Salad,Healthy,24,1,0,2,0,0,20.0,6.0,327,5.5,55,84,62,22
2024-05-21,Pizza Slice,FastFood,24,1,0,5,0,0,27.2,1.5,327,5.0,49,108,100,8
2024-09-26,Burger,FastFood,24,3,0,9,1,0,21.8,6.5,490,6.0,28,163,163,0
2024-04-29,Ice Cream,Dessert,72,0,0,4,0,0,6.1,5.1,394,4.0,50,91,91,0
2024-03-08,Pizza Slice,FastFood,24,4,0,3,0,0,24.3,3.9,394,5.0,39,98,98,0
2024-02-04,Sandwich,Bakery,48,6,1,2,1,1,12.9,3.1,570,4.5,42,182,182,0
2025-03-20,Chicken Roll,Snack,24,3,0,3,0,1,19.3,7.0,187,3.5,85,131,131,0
2024-06-22,Salad,Healthy,24,5,1,6,0,0,15.6,1.6,465,5.5,38,109,109,0
2025-03-30,Pizza Slice,FastFood,24,6,1,3,0,0,33.2,2.3,477,5.0,64,134,134,0
2025-08-06,Salad,Healthy,24,2,0,8,0,1,23.6,3.8,338,5.5,66,88,75,13
2025-09-12,Chicken Roll,Snack,24,4,0,9,0,0,9.0,0.0,407,3.5,58,150,150,0
2025-07-08,Pizza Slice,FastFood,24,1,0,7,0,0,20.2,8.4,237,5.0,114,95,95,0
2024-12-09,Coffee,Beverage,12,0,0,12,0,1,25.3,3.3,323,3.0,73,144,144,0
2025-05-08,Sandwich,Bakery,48,3,0,5,0,1,15.4,0.0,384,4.5,70,122,122,0
2025-03-20,Bread,Bakery,48,3,0,3,0,0,23.7,5.1,399,2.5,42,137,117,20
2025-08-16,Coffee,Beverage,12,5,1,8,0,0,17.1,3.3,456,3.0,48,150,150,0
2024-04-14,Burger,FastFood,24,6,1,4,0,0,19.4,6.0,492,6.0,36,141,141,0
2025-08-27,Ice Cream,Dessert,72,2,0,8,0,1,21.9,6.7,202,4.0,64,152,152,0
2024-12-22,Coffee,Beverage,12,6,1,12,0,0,27.4,2.4,459,3.0,116,144,142,2
2025-02-23,Sandwich,Bakery,48,6,1,2,0,0,19.8,7.2,436,4.5,76,115,103,12
2024-06-20,Salad,Healthy,24,3,0,6,0,0,16.1,2.7,384,5.5,43,64,52,12
2024-01-07,Pizza Slice,FastFood,24,6,1,1,0,0,16.9,4.7,329,5.0,44,135,120,15
2025-04-19,Ice Cream,Dessert,72,5,1,4,0,0,18.8,7.8,486,4.0,111,161,161,0
2024-01-31,Pizza Slice,FastFood,24,2,0,1,0,1,10.2,3.4,343,5.0,116,129,118,11
2024-08-21,Sandwich,Bakery,48,2,0,8,0,0,5.4,1.6,344,4.5,96,100,100,0
2025-12-08,Burger,FastFood,24,0,0,12,0,1,7.2,0.0,381,6.0,46,104,104,0
2025-11-04,Coffee,Beverage,12,1,0,11,0,1,5.4,0.8,302,3.0,94,155,150,5
2024-10-26,Sandwich,Bakery,48,5,1,10,0,0,10.5,4.0,594,4.5,20,141,121,20
2025-03-10,Coffee,Beverage,12,0,0,3,1,1,25.7,10.8,356,3.0,94,171,171,0
2024-10-10,Coffee,Beverage,12,3,0,10,0,0,19.8,4.9,415,3.0,30,138,138,0
2025-05-01,Pizza Slice,FastFood,24,3,0,5,0,0,14.3,2.9,295,5.0,61,114,98,16
2025-08-04,Salad,Healthy,24,0,0,8,0,0,36.7,6.8,474,5.5,73,75,74,1
2025-11-21,Coffee,Beverage,12,4,0,11,1,0,21.6,5.6,463,3.0,57,160,160,0
2024-04-25,Coffee,Beverage,12,3,0,4,0,1,17.1,7.0,489,3.0,40,165,165,0
2024-04-23,Bread,Bakery,48,1,0,4,1,0,18.6,7.3,515,2.5,85,176,176,0
2025-11-11,Bread,Bakery,48,1,0,11,0,0,17.1,1.6,313,2.5,22,151,127,24
2025-10-09,Coffee,Beverage,12,3,0,10,0,1,20.4,5.7,336,3.0,43,138,138,0
2025-01-18,Pizza Slice,FastFood,24,5,1,1,0,0,12.5,1.8,356,5.0,49,122,121,1
2025-01-09,Burger,FastFood,24,3,0,1,0,0,6.7,0.0,303,6.0,17,99,92,7
2025-09-23,Ice Cream,Dessert,72,1,0,9,0,0,26.1,4.1,261,4.0,22,135,130,5
2025-02-06,Coffee,Beverage,12,3,0,2,0,0,22.2,0.0,341,3.0,109,142,142,0
2025-07-19,Pizza Slice,FastFood,24,5,1,7,0,0,7.0,2.1,404,5.0,39,110,110,0
2024-07-23,Sandwich,Bakery,48,1,0,7,0,0,5.2,2.9,370,4.5,84,88,88,0
2025-07-14,Salad,Healthy,24,0,0,7,0,0,22.9,6.7,403,5.5,97,84,84,0
